feedback,心理反应,noun,phychic feedback,这是精神攻击mod里的术语，有此“Psychic Feedback（我将其译为“心灵易感”）”特征的人对精神攻击会产生“feedback”，我称之为心理反应
field,旷野,noun,,
Flapper hair,燕尾服短发,noun,"flapper
flapper-style","""Flapper Hair"" 是指20世纪二、三十年代流行的一种发型，特征是短发，通常呈波浪形或卷曲，并用发夹或发带将头发固定在头顶上。这种发型与当时的“燕尾服”时尚相呼应，也被称为“燕尾服头发”。因此翻译为燕尾服短发。"
flesh,血肉,noun,,sec mod特有的红色肉块
flesh angel,血肉天使,noun,,奥术MOD怪物。
flesh vessel,脉管装甲,noun,,sec mod中一种由血肉和骨头组合而成的外骨骼装甲。
flying polyp,盲目者,noun,,旧贴图看上去像龙卷风。
FMJ,全金属披甲弹,noun,,
FMJ-BT,尾翼全金属披甲弹,noun,,
folded note,折叠便笺,noun,,
fouling,积碳,noun,,积碳指在枪械或发动机等机械部件中由燃烧或燃料产生的残留物质，堆积在机械部件表面。可能会影响机械部件的性能，并导致其运行不稳定或故障。
Fueling,充能,noun,,
full metal jacket bullet,全金属披甲弹,noun,,
Full-auto,全自动,noun,"auto
full-auto",除非指明是Semi-automatic（半自动），否则就是全自动射击这种射击模式。
fumanchu Moustache,八字胡,noun,"fumanchu
fu manchu Moustache",可译为“傅满洲小胡子”，这是一种八字形状的胡须，为了让其更通俗易懂或更形象，这里取八字胡。
Gcomb,金币组合,noun,,
Ghost,幽灵（在马德雷赌场mod中译为鬼人）,noun,,
Golden Scales,黄金鳞片,noun,,
GPMG,通用机枪,noun,,
hack,无人机,noun,,部分在机器人的描述里 这个单词意味着无人机
Hair with bits hanging in front,前发下垂,noun,,这句话指前面的部分头发垂下来，但没有说明到底是在“哪个前面”，也没说是否编纂过。
hard plates,硬化装甲板,noun,,
hauberk,锁子甲,noun,,
He From Beyond The Veil,帷幕彼端古神,noun,,
HEAT,破甲弹,noun,,虽然偶见高爆反坦克弹的译法，但是还是破甲弹的翻译更常见一些
hit,命中,noun,,
hivemind,主巢心智,noun,,
"If you're seeing this, then read this one instead:",如果你看到了这个，请阅读这个：,noun,,为了统一格式写的
Impium profligatum,亵渎神灵,noun,,拉丁文
indo,印尼,noun,,
instructions to produce,工艺卡片,noun,,
jacketed hollow point round,披甲空尖弹,noun,,
JHP,空尖弹,noun,,
Johnathan,约翰纳森,noun,Johnathan's,一个人名
Keepers,守誓者,noun,,奥术MOD里的势力之一，这应该是对他们中的个体不那么正式的称呼。就像王小明和小明一样。
Keepers of The Oath,守誓者,noun,,Arcana中的组织名称
keeps the momentum going.,攻势不减,adj,,
Kevlar,凯夫拉,noun,,芳纶纤维，优秀的防弹材料
Kimber Custom,金伯 特装型半自动手枪,noun,,金柏 特裝型半自動手槍是一系列由總部位於美國紐約州揚克斯的金柏公司所研製、生產及銷售的M1911半自動手槍的其中一個型號，主要發射.45 ACP口徑手槍子
Kurtz,中威力短弹,noun,,一种中口径步枪子弹，适用于手枪或短枪械
lab journal-Quinn,奎因实验室期刊,noun,,
lash,鞭子,noun,,
life-draining,生命汲取,noun,,通常情况下是生命汲取，当作为代价时应翻译为消耗生命，获得感觉之类时应该是生命回复或生机
Little Moth,小飞蛾,noun,little moth,卡斯兰特对于玩家的蔑称
living weaponry,生物武器,noun,,
LMG,轻机枪,noun,,
long barrel,"长发射器加压管, 长枪管",noun,,
lucern hammer,琉森锤,noun,,
Lunar Defense Corps,月球防御部队,noun,,
magazine,弹匣,noun,,
magic focus,亲和魔力,noun,,
magic sign,魔法符号,noun,,
magical essence,魔力源质,noun,,
Magnum,马格南,noun,,
mail armor,链甲,noun,,名称本身源自拉丁语“ macula”，意思是“网状的”
mana focus,魔力聚焦,noun,,
mantle of shadows,阴影之幔,noun,,长袍，激活隐身并消除气味。
Mascara running down,睫毛膏晕染,noun,mascara running,"当我们用睫毛膏涂抹睫毛时，如果睫毛膏的质地或使用方法不正确，可能会导致睫毛膏颜色或痕迹扩散或渗透到眼部周围的肌肤上。这种情况被称为“晕染”（英文中通常称为""smudging""或""running""）。  通俗来说，晕染就是睫毛膏在眼睛周围形成模糊、污渍或糊状物的现象。"
match,竞赛弹,noun,,在子弹名称中出现多表示为竞赛弹，为狙击使用
Met,“安全帽”机器人,noun,,出自洛克人。也有可能是meet的过去时，使用时请按上下文辨别
mi-go,米·戈,noun,"mi-gos
migo
migos",统一译名。末尾加s则为复数，可根据上下文自行斟酌，有时复数只翻译成「米·戈」，有时需要翻译成「米·戈们」，就类似人与人们这两个词汇。
miss,没有命中,verb,,少数情况下翻译为错过或遇见，我所以见大部分情况应该是没有命中
mm,mm,noun,,作子弹口径时一般保留mm
momentum,惯性/趋势/攻势/用力,noun,,物理学上一类力的总称，应译为惯性，趋势或攻势，在某些地方被翻译成重力或破坏性的概念
Mounted,车载,noun,,
movecost,移动耗时/攻击耗时,noun,move cost,
Mullet,鲻鱼头,noun,mullet hair,莫西干发型或者鲻鱼头发型，通常是指头顶和前面相对较短的发型，而后面和侧面则相对较长，形成锯齿状的剪裁线条，给人一种复古、叛逆或摇滚风格的感觉。词条创建者取鲻鱼头，因为够形象。
multicam,保留不译，multicam是一种特定的迷彩纹样,noun,,
mutant,变异人,noun,,变异人(或者变异体) 和突变剂很相近，注意分辨。
mutants,变异人,noun,,
nanite core,纳米晶核,noun,,
nanite multitool,纳米多功能工具,noun,,
nanite programmer,纳米级编程器,noun,,
nanofactory,纳米工厂,noun,,
nanotech roof,纳米车顶盖（？）,noun,,
National Arsenal,国家兵工厂,noun,,战场女武神MOD 加利亚公国的武器制造商
Nerdy,宅卷发,noun,,"""Nerdy""这个词在中文中本身并不是一个发型名称，它通常被翻译为“书呆子”、“怪人”、“宅男/宅女”等词语。""Nerdy""发型通常是一种中分或偏分的短发，发型比较整齐，但也具有一定的蓬松感和卷曲感。词条创建者翻译为宅卷发。"
Nevulion,Nevulion,noun,,BL9信徒们认为的神
nitrated cotton,硝化棉,noun,,
Nomex,芳纶,noun,,一种芳纶纤维，优秀的防火材料（诺梅克斯对应游戏中的芳纶？凯夫拉对应凯夫拉？）
not made of fabric,非织物,noun,,不是由织物纤维编织而成的
Nuka-Cola,核子可乐,noun,,辐射系列经典饮料
otherworldly,异界,noun,,与本体一致
Panzergranate,反装甲弹药,noun,,"德文 反装甲弹药, 反坦克雷, ap弹, heat弹都属于此类"
paper shot cartridge,纸卷霰弹,noun,,
Patchmod,兼容补丁,noun,,
pigtails,双马尾,noun,,虽然pigtail也能指双马尾，但在cdda的一些模组作者中，通常指单马尾，此外，只有加了short才是短双马尾，若加low则是下双马尾。
plastic card,信用卡,noun,,
plate carrier,载板背心,noun,,一种防弹衣类型，以防弹衣中的不同防弹板类型与数量来自定义防弹衣的性能
plates,装甲板,noun,,
ponytail hair,马尾,noun,Ponytail,若指发型，则为马尾辫，注意单复数。若加half则翻译成半扎马尾。
portals,门扉,noun,,好像是奥术MOD中NPC对传送门的称呼。
pre-cataclysm,大灾变前,noun,,
Printed Agent's Journal,代理人杂志打印版,noun,,
Protectron,保卫机器人,noun,,
prototype recon mech,原型侦察机,noun,,奥术MOD中的一种机械单位。
QuadTail,四股马尾,noun,"quad tails
quadtails","在英语中，将头发分成四股扎成四个马尾辫的发型通常称为""quad tails""，也可以简单地称为""four ponytails""。可翻译为“四马尾”，为了音韵好听可翻译为“四股马尾”。"
ragnite,拉格那特,noun,,《战场女武神》的一种核心材料
receeding hair,露额短发,noun,"receeding
receding hair
receding",若指发型，receeding可能是receding错写。该词汇在中文中指发际线后退，但无专用词汇。基于形象和观感考虑，采用露额短发。虽然其并未完全表达头发减少的意思，但发际线后移和秃头这个词汇对国人而言并不太中意，不是好词。
receiver,机匣,noun,,
recharge,充能,noun,,
recoil operated,枪管后座式,noun,,
reloaded,复装,noun,,在玩家手工制作的弹药名称前的前缀
rift,裂痕,adj,,当此与另一个名词组合时，翻译为裂痕
rounds,子弹,noun,,
saddler,萨德勒,noun,,sec mod中一种长相类似蜘蛛的怪，外貌可以参考RE4中的saddler
Sanguine Order,猩红教派,noun,,Arcana中的组织名称
scale-covered,覆盖着鳞片,adj,,
Schiessbecher,Schiessbecher 枪榴弹发射器,noun,,
Shield,护盾,noun,,纳米mod，纳米护盾。
shoggoth,修格斯,noun,,一种变异章鱼怪物
shotgun,霰弹枪,noun,,别翻成散弹枪，格局小了
Shrike,屠猎者,noun,,猩红教派阵营的战士，猎人中的猎人，与法师猎人是敌对关系
shrikes,屠猎者,noun,,原有一个但是没有复数版本，可能会导致翻译出错，所以我自己添加了这个版本
skeleton,骷髅,noun,,
Slash,斩击,noun,,
slicked back,梳背头,noun,"long slicked back
slick
slicked",如果该词组与hair相关，可译为梳背头。在“背头”“大/小背头”“梳背头”“背梳头”中词条创作者为了统一和易于理解选择了「梳背头」。
smg,冲锋枪的缩写,noun,,
Sniper,狙击枪,noun,,
Sofia,索菲亚,noun,Sofia's,一个人名
space-age,太空时代短发,noun,,指的是一种流行于20世纪60年代的发型，具有未来主义和科技感。这些发型通常是露出额头和耳朵的简洁而现代化的造型，该发型通常采用大量的发胶或发泥，一般来说，为了制成坚硬且有棱角的形状，该发型通常为短发。同时，这种发型会使用绿色、银色、紫色等，以突出未来感。
Spawns,生成,noun,,
spell,法术,noun,,奥术中法术的意思
spells,法术,noun,,
Sprenggranate,高爆枪榴弹,noun,,德国佬整的神奇玩意
staff,棒子,noun,,Abrahms_MartialArts这个mod里对staff和cudgel作了区分，根据WIKI里的描述，staff是更大更重的棍棒，将其译作“棒子”也许较为合适，cudgel则相应地译作“棍子/长棍”。
steel,钢制,noun,,
steel-reinforced polymer,钢加强聚合物,noun,,"基本上就是受力/摩擦部件是钢, 其他部位用聚合物, 参考一下格牢靠的套筒导轨/钢加强聚合物弹匣就明白了"
Straight Draped,披肩长发,noun,,"长垂发或者披肩长发都可以，但建议后者，因为更为形象。一般来说，短发无法达到 ""披肩"" 的效果，因此虽然字面上并没有明确指出长度，但是从常识和语境来看，这个词组通常被用来形容比较长的发型。"
superalloy,超合金,noun,,
superalloys,一般指超合金,noun,,
Survivor,幸存者,noun,,
tanbark,鞣料树皮,noun,,
tazer,电击枪,noun,,
tendril,触手,noun,,
tenet,信条,noun,,
Thane McKinnon,梅肯农·麦金农,noun,,人名
The Autonomous Anomaly Recon Mech,自动异常侦察机,noun,,奥术MOD中的一个单位。
tokens,代币,noun,,一种货币
torso,躯干,noun,,指四肢以外的身体部分
triffid,三尖树,noun,,
turret,炮塔,noun,,
twisted bones,扭曲的骨头,noun,,奥术MOD里的掉落物品。
Unibrow,连眉,noun,,指两只眉毛之间没有明显分界线而形成的单一连续的眉毛。这通常是由于毛发生长过于浓密而造成的，给人留下一种浓眉大眼的印象，与一字眉不同。
Unknowable forces,未知力量,noun,,
urban digital,城市迷彩涂装,noun,,一种迷彩类型，以灰色和深蓝色方块互相混杂为主体
vampirus,吸血鬼聚集地,noun,,vampire_stuff mod中的一种地形，位于负一层，里面有大量敌对吸血鬼。
vanilla,原版,adj,,指dark days ahead(dda)中的内容
Vault,避难所,noun,,辐射mod里的名词，辐射系列的核心建筑类型之一。
ward against,防护结界,noun,Ward,奥术MOD中的免疫某种类型的伤害的法术。
Wavy,波浪发,noun,Wavy hair,"""卷发"" 和 ""波浪发"" 两种翻译都可表达Wavy，在生活中也都常见。若强调用工具后有卷度，则用卷发更加贴切；如果强调发型自然有波浪感，则使用波浪发。一般情况下，两种翻译都可。当无法明确用哪个，出于动感和统一，词条创建者用「波浪发」，若有long为长发则翻为「波浪长发」。"
Xenoid,异种,noun,Xenoids,这是real dark days above mod里的术语，可以翻译为“异族人/异种人”，这个词在这个mod里指一种入侵的外星人。所以我认为统一翻译为“异种”为佳。
Yao Guai,妖怪,noun,,辐射mod里的怪物名称，辐射远港dlc里的野生动物。
You cast %s!,你施放了 %s,noun,,施放法术，一般翻译的神棍一些
yugg,育格巨噬虫,noun,,看上去像大号的蚯蚓。
zombie,丧尸,noun,,
——“ ”,——“”,noun,,用来加 flavor text （背景说明），加上简短的来自百科的资料内容，可以让查证的时间不浪费，以后玩家看到了就不用自己重新查了
标枪,throwing spear,noun,,
