term,pos,notes,is_case_sensitive,translation_zh_cn,notes_zh_cn
This is a skeletal frame of sturdy metal with attached motors to allow the user to move heavier loads with less strain on the body. with less strain on the body.,,,false,,
This is an employee badge,,,false,,
This model uses a compact internal combustion engine for power.,,,false,,
This tent is broken and cannot be deployed.,,,false,,
"This tree is a member of the 'Mangifera' genus, producing fruit commonly known as mangoes.",,,false,,
Thorazine,noun,,true,冬眠灵,
Thoreaux,noun,,false,梭罗,
Tingle,noun,,false,,
Tis but a scratch,,,false,,
"Tough yet breathable, it is light and comfortable to wear under clothing.",,,false,,
"Transparent and made of plastic, it can be sealed and opened by a slider which works in a similar way to a zip fastener.",,,false,,
UASTA,noun,,true,,
UAV,noun,Unmanned aerial vehicle,false,无人机,
UGV,noun,,false,,
UICA,noun,,true,,
UICAS,noun,,true,,
UICASTA,,,false,,
UPS,,Unified Power Supply,true,UPS,
US,noun,,false,,
Uncanny,noun,,false,安可异,
Upper Rubber Boot Books,,,false,,
Use it to loosen it if you want to wear it over normal clothing.,,,false,,
Use it to turn it off.,,,false,,
Use it to turn it on.,,,false,,
Use it to turn them off.,,,false,,
Used in many crafting recipes.,,,false,,
Useful for a vehicle.,,,false,,
Useful for crafting,,,false,,
Useful for crafting communications equipment.,,,false,,
Useful for some crafting recipes.,,,false,,
Useful in advanced electronics crafting.,,,false,,
Useful in lots of electronics recipes.,,,false,,
Useful in some electronics recipes.,,,false,,
Vanessa,noun,,false,瓦内萨,
Walther,noun,gun manufacturer name,false,瓦尔特,
Weird!,,,false,,
Whately,noun,,false,沃特利,
Wildshape,noun,,false,,
Winchester,noun,gun manufacturer name,false,温彻斯特,
Women Up To No Good,,,false,,
XL,adjective,"""Extra large"", used for equipment",true,（XL）||XL,
XS,adjective,"""Extra small"", used for equipment",true,（XS）||XS,
Xanax,noun,,false,赞安诺,
Yoshimi,noun,,false,良美,
"You can wear it if you like, but it won't provide any effects.",,,false,,
You could peel off the bark sections if you examined the tree more closely.,,,false,,
You could scavenge it for parts.,,,false,,
You dream of a different version of yourself,,,false,,
You dream of yourself,,,false,,
You may be able to summon more with a higher level in this spell.,,,false,,
You wrap your waist corset tighter.,,,false,,
"You've managed to get to a shelter, but reality has grown weaker than normal",,,false,,
Yrax,noun,,false,伊拉克斯,
Yum,,,false,,
a confident voice saying,,,false,一个自信的声音说道,
a gentle voice saying,,,false,,
a gore-smeared winged beast,,,false,,
a voice saying,,,false,,
abstract,adjective,,false,虚拟||抽象,
accuracy,noun,probability of hitting a target with a ranged weapon,false,精度||精确||精准度,
achievements,noun,,false,成就,
acorn,noun,,false,橡子,
activate,verb,,false,使用||激活,
admin,noun,,false,,
adobe,noun,,false,坯,
advanced,adjective,,false,高级,
adze,noun,,false,锛子,
aisle,noun,,false,走道,
alamosaurus,noun,,false,阿拉摩龙,
albertonykus,noun,,false,亚伯达爪龙,
albertosaurus,noun,,false,阿尔伯塔龙,
alchemist,noun,,false,炼金术士,
alexandrite,noun,,false,紫翠玉,
alexandrites,noun,,false,紫翠玉,
alien,adjective,,false,,
almond,noun,,false,扁桃仁,
alternator,noun,,false,发电机,
aluminum,noun,,false,铝,
amargasaurus,noun,,false,阿马加龙,
amethyst,noun,,false,紫水晶,
ammo,,,false,,
ammo belt,noun,,false,,
ammonium nitrate,noun,,false,,
ammunition,,,false,,
and those nearby,,,false,,
anesthetic,noun,,false,麻醉剂,
anesthetic kit,noun,,false,,
angle grinder,noun,,false,,
ankylosaurus,noun,,false,甲龙,
antidepressant,noun,,false,抗抑郁药,
apatosaurus,noun,,false,迷惑龙,
appalachiosaurus,noun,,false,阿巴拉契亚龙,
appliance,noun,,false,,
apricot,noun,,false,杏子,
apron,noun,,false,,
aquamarine,noun,,false,海蓝宝石,
aquilops,noun,,false,鹰角龙,
aramid,noun,,false,凯夫拉纤维,
arm guard,noun,,false,,
arm guards,,,false,护臂,
armadillo,noun,,false,,
armor,noun,,false,盔甲||护甲||胸甲||甲||铠,
arpen,noun,,false,,
array,noun,,false,,
artifact,noun,,false,,
assault rifle,noun,,false,突击步枪,
attunement,noun,,false,调谐||同调,
auto pickup,noun,,false,自动拾取,
auto-fetch,noun,,false,,
auto-magazine,noun,,false,自动弹匣,
auto-magazines,noun,,false,自动弹匣,
auto-pulp,,,false,,
autoclave,noun,,false,高压灭菌釜,根据柯林斯英汉字典，autoclave在作化学反应容器时解作高压釜，在作医疗器械时解作高压灭菌器。在游戏中autoclave主要用于给带有细菌的cbm消毒灭菌，因此在这里更好的释义应为高压灭菌器而非高压釜，为维护前后一致性写作高压灭菌釜。
autopickup,noun,,false,自动拾取,
awl,noun,,false,,
axe,noun,,false,斧,
backpack,noun,,false,,
badge,noun,,false,,
balaclava,noun,,false,,
barbed,noun,,false,,
barley,noun,,false,大麦,
barrel,noun,,false,,
basecamp,noun,,false,,
bash,noun,,false,钝击,
bashing,adjective,,false,钝击,武器的一种伤害类型
bashing damage,noun,,false,钝击伤害,
basic,adjective,,false,基本,
bass,noun,,false,,
baton,noun,,false,,
battery cell,,,false,电池,
battle rifle,noun,,false,战斗步枪,
bay,noun,,false,,
beaker,noun,,false,烧杯,
beam,noun,,false,,
beanbag,noun,type of ammo,false,沙包弹,
bearings,noun,,false,滚珠,
bedroom,noun,,false,,
bee,,,false,,
bees,,,false,,
bell pepper,noun,,false,,
biodiesel,noun,,false,,
biomancer,noun,,false,生化术士,
biosilicified,adjective,,false,硅化甲壳,
birdshot,noun,shotgun ammo type,false,猎鸟弹,
bitter,adjective,,false,,
black powder,noun,,false,,
blackberry,noun,,false,黑莓,
blob,,,false,变形怪,
blob,noun,,false,变形怪,
blobs,noun,,false,变形怪,
blowback,noun,,false,,
blue,adjective,,false,蓝,
blue topaz,noun,,false,蓝黄玉,
blueberry,noun,,false,蓝莓,
bluegill,noun,,false,,
bodysuit,noun,,false,,
bolt,noun,,false,弩矢||闪电,
bolt-action,adjective,,false,栓动,
bolts,noun,,false,弩矢||束,
bonus,,,false,,
bookcase,,,false,,
bootleg,,,false,自制,
bootleg,adjective,,false,,
bootss,,,false,靴子,
bot,noun,,false,机器人,
bots,noun,,false,机器人,
bowl,noun,,false,,
box magazine,noun,,false,盒式弹匣,
bracelet,noun,,false,,
bracelets,noun,,false,,
brachiosaurus,noun,,false,腕龙,
brass catcher,noun,,false,,
bratwurst,noun,,false,,
break action,adjective,,false,,
breaker switches,noun,,false,,
breeder,noun,,false,培育,
breeders,noun,,false,培育,
breezy,adjective,,false,,
brewing,verb,,false,,
brine,noun,,false,盐水,
bristles,noun,,false,,
bristly,adjective,,false,,
broadhead,noun,,false,宽刃,
broccoli,noun,,false,西兰花,
broken,adjective,,false,破损的,
broken,noun,,false,损坏,
broker,,,false,,
brontosaurus,noun,,false,雷龙,
brown spider,noun,,false,,
brush,noun,,false,刷,
brute,,,false,,
buchner flask,noun,,false,,
buckshot,noun,shotgun ammo type,false,猎鹿弹,
buckwheat,noun,,false,荞麦,
buff,,,false,,
building block,noun,,false,,
bulette,noun,magical creature from dnd,false,鲨蜥兽,
bulky,adjective,,false,笨重,
bundle,noun,,false,,
bundled tightly together for storage.,,,false,,
bundled tightly together for storage.Disassemble to unpack.,,,false,,
bunker,noun,,false,,
burdock,noun,,false,,
but can carry other liquids in a pinch.,,,false,,
but fails to penetrate their armor,,,false,,
but it might have useful parts to be scavenged.,,,false,,
butcher,noun,,false,,
butcher,verb,,false,屠宰,
butchering,,,false,,
butchering rack,noun,,false,屠宰架,
cabbage,noun,,false,卷心菜,
cabbages,noun,,false,卷心菜,
cabinet,noun,,false,,
calcium,noun,,false,钙,
camarasaurus,noun,,false,圆顶龙,
camp manager,noun,,false,营地主管,
campground,noun,,false,,
camphine,noun,,false,,
campsite,noun,,false,,
camptosaurus,noun,,false,弯龙,
can hold,,,false,,
canister,,,false,,
canister,noun,high-pressured liquefied gas container,false,罐,
canister shot,,,false,,
canned,adjective,,false,,
canvas sack,,,false,帆布袋,
cap & ball,adjective,,false,,
capacitor,noun,,false,,
carabiner,noun,,false,,
carbide,noun,,false,碳化物,
carcass,noun,,false,胴体,
cardio,noun,,false,,
carrot,noun,,false,胡萝卜,
carrots,noun,,false,胡萝卜,
cartridge,noun,,false,弹药,
cartridges,noun,,false,弹药,
case,noun,,false,,
caseless,adjective,,false,无壳,
casing,,,false,,
casings,noun,part of a round (firearms),false,弹壳,
casserole,noun,,false,,
caster,noun,,false,,
cat,,,false,,
cellar,noun,,false,,
ceratosaurus,noun,,false,角鼻龙,
certified note,noun,,false,,
chainmail,noun,,false,链甲,
chainmail,adjective,,false,锁环,
chance,noun,,false,,
character,noun,as in “player character”,false,角色,
chassis,noun,of a robot/drone,false,,
cheese,noun,,false,奶酪,
chicken walker,noun,,false,双足机器人,
chickenbot,noun,,false,,
chickenwalker,noun,,false,双足机器人,
chickenwalkers,noun,,false,双足机器人,
chickenwire,noun,,false,,
chili pepper,noun,,false,,
chocolate,noun,,false,巧克力,
choke,,,false,喉缩,
chokehold,noun,,false,收束器,
chop shop,,,false,,
chop shop,noun,place to salvage parts from vehicles,false,拆车场,
chromium,noun,,false,铬,
chunk,noun,,false,,
churn,verb,,false,,
citrine,noun,,false,黄水晶,
citrines,noun,,false,黄水晶,
clean water,noun,,false,净水,
cleaner bot,noun,,false,,
cleanerbot,,,false,,
cleansing agent,noun,,false,,
clear water,noun,,false,,
clearcrete,noun,,false,清凝土,
clip,noun,Wikipedia: “a device for storing multiple rounds together as a unit before inserting into a magazine or cylinder”; https://en.wikipedia.org/wiki/Clip_%28firearms%29,false,弹夹,
close quarters combat,,,false,,
closed bolt,noun,,false,,
cloth,noun,,false,,
club,noun,,false,,
clump,noun,,false,,
coal,noun,,false,煤炭,
coat,noun,,false,大衣,
coffin,noun,,false,,
coilgun,noun,,false,线圈枪,
coincidentally,adverb,,false,,
college,noun,,false,,
compatible,adjective,,false,兼容,
concrete,,,false,,
concrete,noun,,false,混凝土,
contact your SRCF administrator,,,false,,
container,noun,,false,容器,
contentedness,noun,,false,,
contract,noun,,false,,
controls,noun,in vehicle,false,,
cook-shack,noun,,false,烹饪小屋,
copies of,,"Sometimes used as part of the plural of some book titles, e.g. “copies of The Trapper's Companion”
注意：此词组用于在英文原文中表示书籍的复数，由于中文翻译不支持复数或量词，包含此词组的书籍名称应全部翻译为单数形式。",false,,
cordage,,,false,,
core,noun,,false,核心,
cores,noun,,false,核心,
corn tortillas,noun,,false,墨西哥饼,
corpse,,,false,,
corpses,,,false,,
corythosaurus,noun,,false,冠龙,
cotton,noun,,false,棉,
cougar,noun,,false,,
counter,,,false,,
craft,verb,,false,制造,
craftbuddy,noun,,false,制造小帮手,
craftbuddys,noun,,false,制造小帮手,
cranberries,noun,,false,蔓越莓,
cranberry,noun,,false,蔓越莓||克兰伯里,
craving,noun,,false,上瘾,
crew,noun,,false,成员,
crew cut,noun,,false,,
crop overseer,noun,,false,农场主管,
crossbow,noun,,false,弩,
crossbows,noun,,false,弩,
crosshair,noun,,false,,
crude,adjective,,false,简易,
crush,,,false,,
cubierta de papel,,,false,,
cucumber,noun,,false,黄瓜,
cucumbers,noun,,false,黄瓜,
cufflinks,noun,,false,,
curarine,noun,,false,,
custom-built,adjective,,false,自制,
customized,adjective,,false,自制,
cutlass,noun,,false,,
cutting,adjective,,false,斩击,
cutting damage,noun,,false,斩击伤害,
cyborg,noun,,false,,
dab pen,,,false,,
daspletosaurus,noun,,false,惧龙,
datasheet,noun,,false,,
debug,noun,,false,,
decoy,noun,,false,,
deep freeze,noun,,false,,
defense turret,noun,,false,防御炮塔,
deinonychus,noun,,false,恐爪龙,
delicacy,noun,,false,美食,
deluxe,,,false,,
demihuman,adjective,,false,,
depressant,noun,,false,,
deputy,noun,,false,议员,
derringer,noun,,false,,
detachable,adjective,,false,可拆卸,
device,noun,,false,设备,
dexterity,noun,,false,敏捷,
diamond,adjective,,false,钻石,
diamonds,noun,,false,钻石,
diesel,adjective,,false,,
diesel,noun,,false,柴油,
dilophosaurus,noun,,false,双脊龙,
dimethyl sulfoxide,noun,,false,二甲基亚砜,
dimorphodon,noun,,false,双型齿翼龙,
dining hall,noun,,false,,
diplodocus,noun,,false,梁龙,
disarmed,adjective,,false,缴械,
disassemble,noun,,false,,
disassemble,verb,,false,拆解,
disassembly,verb,,false,,
disc,noun,,false,圆盘,
dispatch,noun,,false,,
dispersion,,,false,散布,
distillate cartridge,noun,,false,,
do in a pinch,adjective,,false,,
dodging,noun,,true,,
dogbane,noun,,false,,
draft,noun,,false,,
dragonhide,,,false,,
dragonscale,,,false,,
dromaeosaurus,noun,,false,驰龙,
drone,noun,,false,,
drop hammer,noun,,false,落锤,
druid,noun,,false,德鲁伊,
drum magazine,noun,,false,弹鼓,
dry stone,noun,,false,,
dryosaurus,noun,,false,橡树龙,
dryptosaurus,noun,,false,伤龙,
duct tape,noun,,false,强力胶带,
dummies,noun,,false,,
dummy,noun,,false,,
dumpster,noun,,false,,
durable,adjective,,false,,
duster,noun,,false,防尘风衣,
duster coat,noun,,false,,
dyoplosaurus,noun,,false,倍甲龙,
earthshaper,,,false,,
edmontonia,noun,,false,埃德蒙顿甲龙,
edmontosaurus,noun,,false,埃德蒙顿龙,
eerie,adjective,,false,,
eggs,noun,,false,蛋,
elderberry,noun,,false,接骨木果,
electrohack,noun,hacking device to hack stuff like keypads,false,电子黑客仪,
emblazoned,adjective,,false,,
embrasure,noun,,false,,
emerald,noun,,false,祖母绿,
encumbrance,noun,refers to clothing encumbrance,false,累赘,
engagement rule,noun,,false,作战条令,
engine,noun,,false,引擎,
engrave,verb,,false,,
entrails,noun,,false,内脏,
epoxy,noun,,false,,
escape pod,noun,,false,,
espatier,,Space Marine.,false,星际战士,
essence,noun,,false,精萃,
estoc,noun,,false,,
examine,verb,,false,,
exosuit,,Aftershock的exoskeleton suit，此处为游戏性方便私译为动力装甲。,false,动力装甲,
exosuit,noun,Aftershock的exoskeleton suit，此处为游戏性方便私译为动力装甲。,false,动力装甲,
expansion,noun,additional construction for camps,false,扩展区,营地的额外建设
extended magazine,noun,larger magazine for guns,false,扩充弹匣,
eyebot,,,false,,
eyebot,noun,,false,,
eyestalk,noun,,false,,
fabric,,,false,,
faction,noun,,false,派系,
faction camp,noun,,false,派系营地,
factions,noun,,false,派系,
factory specification,noun,,false,工厂生产,
fairy tale,noun,,false,,
faith,noun,,false,,
farthing,,,false,,
faux fur,noun,,false,,
felt,noun,,false,毛毡,
fence,noun,,false,,
field dress,verb,,false,清理内脏,
field dressing,noun,,false,清理内脏,
filling,adjective,,false,,
filthy,adjective,"Describes a piece of clothing which is badly dirty and stinks, is dropped from zombies. The player might get penalties for wearing it, such as being infected.",false,肮脏,
firearm,noun,,false,枪械,
firearms,noun,,false,枪械,
firefighter,noun,,false,消防员,
firefighters,noun,,false,消防员,
fireplace,noun,,false,,
fireweed,noun,,false,,
firing pin,noun,,false,,
five point harness,noun,,false,五点式安全带,
flamethrower,noun,,false,火焰喷射器,
flaming,adjective,,false,燃烧,
flashlight,,,false,,
flechette,noun,ammo type,false,镖形弹,
fluid sac,noun,,false,液囊,
flush fitting,adjective,,false,,
foamcrete,noun,,false,,
focus,,,false,,
focus,noun,,false,,
fog,noun,,false,,
foil,noun,,false,,
foldable,adjective,,false,可折叠,
food dehydrator,noun,,false,食品脱水机,
foodstuff,noun,,false,,
forward grip,noun,,false,,
fowl,noun,,false,,
fpoon,noun,,false,,
frame,noun,,false,,
free merchants,noun,,false,,
freezer,noun,,false,冰柜,
